Name,FIPS,State,Population,Poverty
Meade County,20119,KS,4053,264
Montgomery County,20125,KS,31583,5911
Pratt County,20151,KS,8980,1047
Rawlins County,20153,KS,2442,268
Anderson County,20003,KS,7670,1151
Ellsworth County,20053,KS,5309,493
Geary County,20061,KS,32911,4292
Ford County,20057,KS,33503,4858
Russell County,20167,KS,6833,761
Marshall County,20117,KS,9550,854
Allen County,20001,KS,12094,2138
Cheyenne County,20023,KS,2616,247
Cowley County,20035,KS,33085,4675
Elk County,20049,KS,2501,449
Franklin County,20059,KS,24809,2441
Hodgeman County,20083,KS,1829,204
Jewell County,20089,KS,2829,501
Rice County,20159,KS,8934,1271
Stafford County,20185,KS,4051,507
Osage County,20139,KS,15596,2226
Coffey County,20031,KS,8132,1008
Crawford County,20037,KS,36940,7513
Greenwood County,20073,KS,5995,799
Chippewa County,26033,MI,34009,6257
Monroe County,26115,MI,148255,16493
Oakland County,26125,MI,1242271,101559
Hillsdale County,26059,MI,44008,7137
Muskegon County,26121,MI,166377,25719
Leelanau County,26089,MI,21437,1310
Lapeer County,26087,MI,86208,8691
Sanilac County,26151,MI,40675,6150
Keweenaw County,26083,MI,2102,223
Ontonagon County,26131,MI,5804,793
Ottawa County,26139,MI,276554,23569
Alcona County,26001,MI,10211,1738
Ionia County,26067,MI,60391,7129
Kalkaska County,26079,MI,17423,2905
Berrien County,26021,MI,150558,24305
Ogemaw County,26129,MI,20419,3491
Wexford County,26165,MI,32852,4665
Crawford County,26039,MI,13622,2218
Dickinson County,26043,MI,24969,2933
Huron County,26063,MI,30894,4030
Ingham County,26065,MI,271705,53303
Mason County,26105,MI,28540,4294
Menominee County,26109,MI,22656,2889
Missaukee County,26113,MI,14837,2111
St. Joseph County,26149,MI,59829,8884
Van Buren County,26159,MI,74460,11060
Arenac County,26011,MI,14864,2547
Barry County,26015,MI,59614,4613
Iron County,26071,MI,10851,1420
Benzie County,26019,MI,17409,1650
Schoolcraft County,26153,MI,7930,1321
Wayne County,26163,MI,1736055,387362
Grand Traverse County,26055,MI,90255,8703
Mackinac County,26097,MI,10659,1744
Genesee County,26049,MI,403003,76326
Labette County,20099,KS,19672,3619
Sedgwick County,20173,KS,506720,69506
Republic County,20157,KS,4538,492
Graham County,20065,KS,2459,242
Douglas County,20045,KS,112036,20169
Sheridan County,20179,KS,2467,130
Gray County,20069,KS,5954,338
Todd County,46121,SD,10070,5584
Oglala Lakota County,46102,SD,14227,6569
Dunn County,55033,WI,41074,4830
Grant County,55043,WI,48031,7278
Sheboygan County,55117,WI,112045,8110
Menominee County,55078,WI,4511,1593
Buffalo County,55011,WI,13026,1230
La Crosse County,55063,WI,112914,14559
Marathon County,55073,WI,133602,12246
Trempealeau County,55121,WI,28971,2271
Dodge County,55027,WI,83476,6903
Vilas County,55125,WI,21477,2729
Manitowoc County,55071,WI,78223,7799
Burnett County,55013,WI,15100,1877
Door County,55029,WI,27128,2059
Fond du Lac County,55039,WI,99325,8341
Pepin County,55091,WI,7166,750
Richland County,55103,WI,17100,2410
Waushara County,55137,WI,22845,2551
Lafayette County,55065,WI,16542,1860
Pierce County,55093,WI,39222,3635
Calumet County,55015,WI,49666,2871
Kenosha County,55059,WI,164150,20205
Wallace County,20199,KS,1549,146
Chase County,20017,KS,2548,300
Stevens County,20189,KS,5491,1099
Smith County,20183,KS,3553,400
Grant County,20067,KS,7384,848
Antrim County,26009,MI,22935,2527
Houghton County,26061,MI,33452,6742
Livingston County,26093,MI,188288,9808
Iosco County,26069,MI,24813,3774
Lake County,26085,MI,11508,2416
Manistee County,26101,MI,23122,2652
Jackson County,20085,KS,13073,1525
Kingman County,20095,KS,7217,549
Logan County,20109,KS,2770,224
Nemaha County,20131,KS,9796,859
Pottawatomie County,20149,KS,23487,1900
Wyandotte County,20209,KS,163000,31261
Cherokee County,20021,KS,19882,2604
Butler County,20015,KS,63505,6025
Clay County,20027,KS,7936,642
Lincoln County,20105,KS,2939,271
Saline County,20169,KS,53215,6132
Sumner County,20191,KS,22532,2667
Trego County,20195,KS,2756,191
Wabaunsee County,20197,KS,6765,330
Wilson County,20205,KS,8464,1196
Mitchell County,20123,KS,5912,874
Osborne County,20141,KS,3415,506
Atchison County,20005,KS,14910,2269
Finney County,20055,KS,36114,4459
Hamilton County,20075,KS,2591,272
Leavenworth County,20103,KS,74940,6379
Washington County,20201,KS,5348,581
Wichita County,20203,KS,2100,69
Morton County,20129,KS,2675,273
Norton County,20137,KS,4562,564
Barton County,20009,KS,25853,3978
Cloud County,20029,KS,8501,965
Edwards County,20047,KS,2780,277
Lane County,20101,KS,1559,187
Rush County,20165,KS,2945,304
Marion County,20115,KS,11178,971
Neosho County,20133,KS,15575,2926
Ottawa County,20143,KS,5732,567
Riley County,20161,KS,65183,14591
Barber County,20007,KS,4551,746
Dickinson County,20041,KS,18398,2184
Jefferson County,20087,KS,18633,1398
Montmorency County,26119,MI,9105,1507
Presque Isle County,26141,MI,12544,1642
Gladwin County,26051,MI,24944,4215
Kalamazoo County,26077,MI,254596,38054
Mecosta County,26107,MI,40240,8541
Marquette County,26103,MI,62841,9833
Newaygo County,26123,MI,47699,7928
Osceola County,26133,MI,22879,4102
Otsego County,26137,MI,24056,3302
Calhoun County,26025,MI,130391,21423
Cheboygan County,26031,MI,25080,3732
Luce County,26095,MI,5273,896
Kent County,26081,MI,637355,74720
Saginaw County,26145,MI,185415,33351
Shiawassee County,26155,MI,67327,6906
Bay County,26017,MI,102883,16266
Charlevoix County,26029,MI,25782,2607
Delta County,26041,MI,35485,4588
Emmet County,26047,MI,32646,2984
Koochiching County,27071,MN,12237,1665
Morrison County,27097,MN,32589,3317
Pennington County,27113,MN,13961,1535
Steele County,27147,MN,36180,3236
Wilkin County,27167,MN,6147,564
Aitkin County,27001,MN,15592,1896
Faribault County,27043,MN,13425,1543
Murray County,27101,MN,8140,580
Kandiyohi County,27067,MN,41941,4409
Lake County,27075,MN,10356,902
Rock County,27133,MN,9144,824
