FIPS,state,county,population,poverty,drowningdeaths,povertyratio,deathpopulationratio,deathpovertyratio
17141,IL,Ogle County,50212,4787,11,9.53%,0.02%,0.23%
20015,KS,Butler County,63505,6025,15,9.49%,0.02%,0.25%
38101,ND,Ward County,66782,6319,16,9.46%,0.02%,0.25%
17089,IL,Kane County,525417,49371,100,9.40%,0.02%,0.20%
27111,MN,Otter Tail County,57190,5328,16,9.32%,0.03%,0.30%
18147,IN,Spencer County,20127,1871,10,9.30%,0.05%,0.53%
55093,WI,Pierce County,39222,3635,11,9.27%,0.03%,0.30%
39045,OH,Fairfield County,151338,13930,16,9.20%,0.01%,0.12%
55073,WI,Marathon County,133602,12246,39,9.17%,0.03%,0.32%
55095,WI,Polk County,42843,3922,12,9.15%,0.03%,0.31%
39109,OH,Miami County,104041,9521,20,9.15%,0.02%,0.21%
26047,MI,Emmet County,32646,2984,10,9.14%,0.03%,0.34%
18029,IN,Dearborn County,48744,4446,18,9.12%,0.04%,0.41%
18037,IN,Dubois County,41649,3767,11,9.04%,0.03%,0.29%
19099,IA,Jasper County,35254,3186,10,9.04%,0.03%,0.31%
55069,WI,Lincoln County,27018,2441,12,9.03%,0.04%,0.49%
29037,MO,Cass County,102209,9173,16,8.97%,0.02%,0.17%
39025,OH,Clermont County,202428,18162,44,8.97%,0.02%,0.24%
18129,IN,Posey County,25248,2255,10,8.93%,0.04%,0.44%
39149,OH,Shelby County,48071,4240,13,8.82%,0.03%,0.31%
26037,MI,Clinton County,77563,6838,14,8.82%,0.02%,0.21%
26139,MI,Ottawa County,276554,23569,59,8.52%,0.02%,0.25%
20103,KS,Leavenworth County,74940,6379,20,8.51%,0.03%,0.31%
27109,MN,Olmsted County,152624,12864,31,8.43%,0.02%,0.24%
55039,WI,Fond du Lac County,99325,8341,23,8.40%,0.02%,0.28%
39011,OH,Auglaize County,45036,3773,10,8.38%,0.02%,0.27%
55055,WI,Jefferson County,81518,6800,19,8.34%,0.02%,0.28%
55027,WI,Dodge County,83476,6903,14,8.27%,0.02%,0.20%
17179,IL,Tazewell County,130038,10744,36,8.26%,0.03%,0.34%
26125,MI,Oakland County,1242271,101559,263,8.18%,0.02%,0.26%
29047,MO,Clay County,239395,19551,44,8.17%,0.02%,0.23%
39085,OH,Lake County,226687,18325,45,8.08%,0.02%,0.25%
38015,ND,Burleigh County,91638,7392,22,8.07%,0.02%,0.30%
17097,IL,Lake County,684107,54273,131,7.93%,0.02%,0.24%
55085,WI,Oneida County,34673,2725,14,7.86%,0.04%,0.51%
55087,WI,Outagamie County,182206,14198,38,7.79%,0.02%,0.27%
26015,MI,Barry County,59614,4613,20,7.74%,0.03%,0.43%
39137,OH,Putnam County,33499,2557,11,7.63%,0.03%,0.43%
17063,IL,Grundy County,50094,3814,15,7.61%,0.03%,0.39%
27041,MN,Douglas County,37037,2814,12,7.60%,0.03%,0.43%
18113,IN,Noble County,46413,3453,21,7.44%,0.05%,0.61%
18081,IN,Johnson County,150832,11196,16,7.42%,0.01%,0.14%
55117,WI,Sheboygan County,112045,8110,35,7.24%,0.03%,0.43%
55021,WI,Columbia County,55513,3959,12,7.13%,0.02%,0.30%
17203,IL,Woodford County,37669,2651,13,7.04%,0.04%,0.49%
17111,IL,McHenry County,305156,21281,50,6.97%,0.02%,0.24%
18173,IN,Warrick County,61153,4218,15,6.90%,0.03%,0.36%
17197,IL,Will County,679212,45834,131,6.75%,0.02%,0.29%
18059,IN,Hancock County,74293,4941,10,6.65%,0.01%,0.20%
39107,OH,Mercer County,40301,2591,10,6.43%,0.03%,0.39%
27141,MN,Sherburne County,92076,5912,19,6.42%,0.02%,0.32%
18087,IN,Lagrange County,38825,2489,11,6.41%,0.03%,0.44%
17043,IL,DuPage County,916059,58397,142,6.37%,0.02%,0.24%
29165,MO,Platte County,99505,6191,29,6.22%,0.03%,0.47%
27037,MN,Dakota County,418832,25333,63,6.05%,0.02%,0.25%
39103,OH,Medina County,176302,10627,26,6.03%,0.02%,0.25%
27025,MN,Chisago County,53761,3210,14,5.97%,0.03%,0.44%
18011,IN,Boone County,64662,3848,10,5.95%,0.02%,0.26%
31153,NE,Sarpy County,179078,10654,24,5.95%,0.01%,0.23%
27003,MN,Anoka County,346853,20427,62,5.89%,0.02%,0.30%
39055,OH,Geauga County,92860,5344,19,5.75%,0.02%,0.36%
27139,MN,Scott County,143352,7896,25,5.51%,0.02%,0.32%
20091,KS,Johnson County,585678,31422,78,5.37%,0.01%,0.25%
55089,WI,Ozaukee County,86789,4631,12,5.34%,0.01%,0.26%
55109,WI,St. Croix County,87846,4601,23,5.24%,0.03%,0.50%
19049,IA,Dallas County,86583,4521,13,5.22%,0.02%,0.29%
26093,MI,Livingston County,188288,9808,48,5.21%,0.03%,0.49%
29183,MO,St. Charles County,385879,19984,72,5.18%,0.02%,0.36%
18063,IN,Hendricks County,160276,8021,28,5.00%,0.02%,0.35%
55133,WI,Waukesha County,395121,19083,65,4.83%,0.02%,0.34%
39041,OH,Delaware County,198250,9530,20,4.81%,0.01%,0.21%
55131,WI,Washington County,133873,6175,19,4.61%,0.01%,0.31%
27171,MN,Wright County,132905,6122,35,4.61%,0.03%,0.57%
18057,IN,Hamilton County,321126,14700,43,4.58%,0.01%,0.29%
39165,OH,Warren County,221258,10071,49,4.55%,0.02%,0.49%
17093,IL,Kendall County,125416,5647,13,4.50%,0.01%,0.23%
27163,MN,Washington County,252232,10822,54,4.29%,0.02%,0.50%
27019,MN,Carver County,100951,4126,18,4.09%,0.02%,0.44%
