State,County,County Code,Deaths
Iowa,"Polk County, IA",19153,113
Iowa,"Pottawattamie County, IA",19155,23
Iowa,"Scott County, IA",19163,46
Iowa,"Story County, IA",19169,17
Iowa,"Wapello County, IA",19179,16
Iowa,"Webster County, IA",19187,12
Iowa,"Woodbury County, IA",19193,31
Iowa,,,733
Kansas,"Butler County, KS",20015,15
Kansas,"Crawford County, KS",20037,12
Kansas,"Douglas County, KS",20045,18
Kansas,"Geary County, KS",20061,10
Kansas,"Johnson County, KS",20091,78
Kansas,"Labette County, KS",20099,11
Kansas,"Leavenworth County, KS",20103,20
Kansas,"Montgomery County, KS",20125,18
Kansas,"Reno County, KS",20155,19
Kansas,"Saline County, KS",20169,20
Kansas,"Sedgwick County, KS",20173,170
Kansas,"Shawnee County, KS",20177,53
Kansas,"Wyandotte County, KS",20209,53
Kansas,,,713
Minnesota,"Anoka County, MN",27003,62
Minnesota,"Becker County, MN",27005,14
Minnesota,"Beltrami County, MN",27007,17
Minnesota,"Benton County, MN",27009,15
Minnesota,"Blue Earth County, MN",27013,15
Minnesota,"Carver County, MN",27019,18
Minnesota,"Cass County, MN",27021,16
Minnesota,"Chisago County, MN",27025,14
Minnesota,"Clay County, MN",27027,21
Minnesota,"Crow Wing County, MN",27035,29
Minnesota,"Dakota County, MN",27037,63
Minnesota,"Douglas County, MN",27041,12
Minnesota,"Freeborn County, MN",27047,13
Minnesota,"Hennepin County, MN",27053,339
Minnesota,"Itasca County, MN",27061,21
Minnesota,"Kandiyohi County, MN",27067,15
Minnesota,"Morrison County, MN",27097,13
Minnesota,"Olmsted County, MN",27109,31
Minnesota,"Otter Tail County, MN",27111,16
Minnesota,"Pine County, MN",27115,14
Minnesota,"Ramsey County, MN",27123,182
Minnesota,"St. Louis County, MN",27137,64
Minnesota,"Scott County, MN",27139,25
Minnesota,"Sherburne County, MN",27141,19
Minnesota,"Stearns County, MN",27145,42
Minnesota,"Washington County, MN",27163,54
Minnesota,"Winona County, MN",27169,11
Minnesota,"Wright County, MN",27171,35
Minnesota,,,1415
Missouri,"Barry County, MO",29009,10
Missouri,"Boone County, MO",29019,41
Missouri,"Buchanan County, MO",29021,22
Missouri,"Butler County, MO",29023,23
Missouri,"Callaway County, MO",29027,10
Missouri,"Camden County, MO",29029,25
Missouri,"Cape Girardeau County, MO",29031,19
Missouri,"Cass County, MO",29037,16
Missouri,"Christian County, MO",29043,14
Missouri,"Clay County, MO",29047,44
Missouri,"Cole County, MO",29051,20
Missouri,"Dunklin County, MO",29069,11
Missouri,"Franklin County, MO",29071,35
Missouri,"Greene County, MO",29077,48
Missouri,"Henry County, MO",29083,10
Missouri,"Howell County, MO",29091,11
Missouri,"Jackson County, MO",29095,198
Missouri,"Jasper County, MO",29097,28
Missouri,"Jefferson County, MO",29099,59
Missouri,"Johnson County, MO",29101,10
Missouri,"Laclede County, MO",29105,11
Missouri,"Lafayette County, MO",29107,13
Missouri,"Lincoln County, MO",29113,17
Missouri,"Morgan County, MO",29141,15
Missouri,"Newton County, MO",29145,13
Missouri,"Pemiscot County, MO",29155,14
Missouri,"Pettis County, MO",29159,11
Missouri,"Phelps County, MO",29161,13
Missouri,"Platte County, MO",29165,29
Missouri,"Pulaski County, MO",29169,15
Missouri,"Randolph County, MO",29175,10
Missouri,"St. Charles County, MO",29183,72
Missouri,"St. Francois County, MO",29187,13
Missouri,"St. Louis County, MO",29189,214
Missouri,"Stone County, MO",29209,11
Missouri,"Taney County, MO",29213,16
